iter	Passed	Remaining
0	144	144462
1	146	73346
2	150	49888
3	153	38201
4	156	31136
5	160	26539
6	163	23161
7	166	20622
8	169	18650
9	171	17006
10	176	15840
11	181	14943
12	187	14239
13	190	13391
14	193	12675
15	195	12025
16	197	11428
17	200	10957
18	204	10538
19	207	10166
20	210	9830
21	213	9490
22	215	9160
23	217	8860
24	220	8583
25	222	8336
26	224	8087
27	226	7859
28	228	7660
29	230	7464
30	233	7283
31	235	7135
32	238	6989
33	241	6855
34	243	6727
35	246	6607
36	249	6499
37	253	6414
38	257	6334
39	259	6227
40	262	6146
41	267	6104
42	270	6013
43	273	5952
44	277	5890
45	280	5808
46	283	5748
47	288	5719
48	290	5640
49	292	5565
50	295	5491
51	297	5414
52	299	5351
53	301	5283
54	303	5216
55	305	5151
56	307	5087
57	309	5024
58	311	4963
59	313	4905
60	315	4850
61	317	4802
62	319	4752
63	321	4703
64	323	4654
65	325	4612
66	327	4564
67	329	4518
68	332	4481
69	334	4448
70	337	4417
71	342	4416
72	348	4419
73	351	4398
74	354	4366
75	356	4337
76	360	4315
77	364	4310
78	368	4300
79	371	4273
80	374	4247
81	379	4253
82	381	4215
83	384	4194
84	390	4200
85	394	4192
86	399	4188
87	403	4180
88	406	4161
89	409	4141
90	411	4111
91	413	4083
92	416	4057
93	419	4042
94	421	4015
95	423	3988
96	425	3962
97	427	3934
98	429	3908
99	431	3886
100	433	3862
101	436	3839
102	438	3815
103	440	3791
104	442	3769
105	444	3746
106	446	3724
107	448	3704
108	450	3686
109	452	3664
110	455	3646
111	457	3626
112	460	3617
113	466	3622
114	471	3631
115	475	3622
116	479	3619
117	483	3617
118	486	3604
119	491	3605
120	494	3594
121	497	3576
122	499	3563
123	502	3552
124	507	3551
125	510	3538
126	512	3525
127	518	3533
128	520	3517
129	525	3514
130	530	3521
131	534	3511
132	536	3494
133	538	3479
134	541	3469
135	543	3455
136	545	3438
137	547	3422
138	550	3406
139	552	3395
140	556	3388
141	558	3374
142	561	3362
143	564	3356
144	568	3350
145	572	3346
146	576	3343
147	579	3334
148	581	3322
149	584	3313
150	592	3329
151	597	3333
152	599	3321
153	602	3312
154	605	3303
155	608	3290
156	610	3278
157	613	3268
158	616	3259
159	619	3250
160	620	3233
161	622	3220
162	624	3206
163	626	3193
164	628	3180
165	631	3171
166	633	3159
167	635	3147
168	638	3141
169	641	3131
170	643	3120
171	647	3116
172	650	3108
173	652	3099
174	656	3092
175	658	3082
176	661	3073
177	664	3066
178	667	3063
179	670	3056
180	673	3048
181	676	3041
182	679	3035
183	683	3032
184	686	3024
185	689	3017
186	692	3010
187	695	3002
188	697	2992
189	702	2993
190	707	2996
191	710	2988
192	712	2978
193	714	2968
194	716	2957
195	718	2946
196	720	2938
197	722	2927
198	724	2916
199	726	2905
200	728	2894
201	729	2883
202	731	2873
203	733	2862
204	735	2852
205	737	2841
206	739	2832
207	741	2821
208	742	2811
209	744	2801
210	746	2790
211	748	2781
212	750	2772
213	752	2762
214	754	2753
215	756	2745
216	759	2739
217	761	2731
218	763	2722
219	767	2722
220	771	2718
221	774	2715
222	777	2708
223	797	2764
224	800	2757
225	803	2752
226	807	2749
227	811	2746
228	813	2739
229	816	2734
230	819	2728
231	821	2719
232	823	2710
233	825	2701
234	827	2693
235	829	2685
236	831	2677
237	833	2669
238	835	2660
239	837	2651
240	839	2642
241	841	2634
242	842	2626
243	845	2618
244	847	2612
245	850	2606
246	853	2603
247	857	2599
248	861	2599
249	864	2593
250	867	2588
251	870	2583
